datetime,nat_demand,T2M_toc,QV2M_toc,TQL_toc,W2M_toc,T2M_san,QV2M_san,TQL_san,W2M_san,T2M_dav,QV2M_dav,TQL_dav,W2M_dav,Holiday_ID,holiday,school
01-01-2020 00:00,1032.263,25.80925903,0.01804159,0.032806396,14.84962463,23.30144653,0.01703451,0.021865845,4.559083354,22.59832153,0.016195277,0.0680542,3.737707736,1,1,0
01-01-2020 01:00,1017.5806,25.65084229,0.018064952,0.05317688,15.93375732,23.04146729,0.016935801,0.023796082,4.846412433,22.47115479,0.016104197,0.08010864,3.591758975,1,1,0
01-01-2020 02:00,1000.2797,25.50148926,0.01811875,0.069000244,16.80681807,22.80617676,0.016821753,0.024909973,5.204607646,22.36867676,0.016013037,0.09475708,3.704176849,1,1,0
01-01-2020 03:00,987.2383,25.43099365,0.018142119,0.08001709,17.4606325,22.65755615,0.01674594,0.02520752,5.628076155,22.28255615,0.015937224,0.10708618,3.936591561,1,1,0
01-01-2020 04:00,970.3667,25.36013184,0.018203776,0.08413696,16.63211163,22.53981934,0.01664738,0.022789001,5.729820587,22.20388184,0.015861552,0.11380005,4.08864278,1,1,0
01-01-2020 05:00,957.6767,25.31643066,0.018272119,0.08306885,15.16613976,22.41799316,0.016547875,0.01625824,5.705475416,22.14455566,0.015800195,0.11462402,4.13102412,1,1,0
01-01-2020 06:00,922.3729,25.35366211,0.018287243,0.08010864,14.49096444,22.44741211,0.016486706,0.013000488,5.860416118,22.12709961,0.015784802,0.10736084,4.090742222,1,1,0
01-01-2020 07:00,924.4692,26.07360229,0.018569738,0.079956055,16.12736785,23.83141479,0.016921788,0.015655518,8.454857756,22.41735229,0.015922338,0.09579468,4.056486467,1,1,0
01-01-2020 08:00,954.3947,26.93807373,0.01849305,0.1027832,20.17907624,25.46151123,0.017341012,0.01687622,9.816476167,23.17244873,0.015937204,0.07879639,4.277816668,1,1,0
01-01-2020 09:00,986.0648,27.67202148,0.01840099,0.10592651,22.82342667,26.95327148,0.017470203,0.014186859,11.69646905,24.25014648,0.015829884,0.050323486,4.394932716,1,1,0
01-01-2020 10:00,989.1948,28.32909546,0.018401042,0.113586426,24.01665762,28.06347046,0.017561808,0.012226105,12.49029477,25.43847046,0.01565446,0.030548096,4.558983894,1,1,0
01-01-2020 11:00,1005.6986,28.84682617,0.018484617,0.12756348,24.4729997,28.70620117,0.017584348,0.013698578,12.5999176,26.39370117,0.015375638,0.019577026,4.569095053,1,1,0
